revista_id,revista,issn_canonico
REV-0103,Boletim do Museu de Biologia Mello Leitão,01039121; 23189444
REV-0104,Revista do Museu de Arqueologia e Etnologia,01039709; 24481750
REV-0105,Revista Estudos Feministas,0104026X; 18059584
REV-0106,SAUDE E SOCIEDADE,01041290; 19840470
REV-0107,Revista Temas em Educação,01042777; 23597003
REV-0108,EDUCAR EM REVISTA,01044060; 19840411
REV-0109,Revista da FAEEBA - Educação e Contemporaneidade,01047043; 23580194
REV-0110,Horizontes Antropológicos,01047183; 18069983
REV-0111,Movimento (Porto Alegre),0104754X; 19828918
REV-0112,Cadernos de Linguagem e Sociedade,01049712; 21794790
REV-0113,Revista Latinoamericana de Psicología,01200534
REV-0114,Revista Colombiana de Educación,01203916; 23230134
REV-0115,Universitas Humanistica,01204807; 20112734
REV-0116,Educación y Ciencia,01207105; 28056655
REV-0117,Análisis,01208454; 21459169
REV-0118,Revista Estomatología,01213873; 22487220; 23462892
REV-0119,ESTUDIOS POLITICOS,01215167; 24628433
REV-0120,COLOMBIA INTERNACIONAL,01215612
REV-0121,Ánfora,01216538; 22486941
REV-0122,Nomadas,01217550
REV-0123,PROSPECTIVA Revista de Trabajo Social e intervención social,01221213; 2389993X
REV-0124,CUADERNOS DE DESARROLLO RURAL,01221450
REV-0125,Cultura y Droga,01228455; 25907840
REV-0126,TERRITORIOS,01238418; 22157484
REV-0127,REVISTA DE ESTUDIOS SOCIALES,0123885X; 19005180
REV-0128,ACTA COLOMBIANA DE PSICOLOGIA,01239155
REV-0129,Infectio,01239392; 24223794
REV-0130,Revista de Salud Pública,01240064; 25393596
REV-0131,Paideia Surcolombiana,01240307; 25389572
REV-0132,DESAFIOS,01244035; 21455112
REV-0133,BITACORA URBANO TERRITORIAL,01247913; 2027145X
REV-0134,JOURNAL OF ARID ENVIRONMENTS,01401963; 1095922X
REV-0135,FEMINIST REVIEW,01417789; 14664380
REV-0136,Ethnic and Racial Studies,01419870; 14664356
REV-0137,BRITISH JOURNAL OF SOCIOLOGY OF EDUCATION,01425692; 14653346
REV-0138,School Psychology International,01430343; 14617374
REV-0139,ECONOMIC AND INDUSTRIAL DEMOCRACY,0143831X; 14617099
REV-0140,Social Policy &amp; Administration,01445596; 14679515
REV-0141,AGEING & SOCIETY,0144686X; 14691779
REV-0142,CHILD ABUSE & NEGLECT,01452134; 18737757
REV-0143,BEHAVIOR MODIFICATION,01454455; 15524167
REV-0144,MEDICAL ANTHROPOLOGY,01459740; 15455882
REV-0145,Journal of Social Service Research,01488376; 15407314
REV-0146,NACLA Report on the Americas,01491598; 10585397; 10714839; 24712620
REV-0147,Evaluation and Program Planning,01497189; 18737870
REV-0148,DISCOURSE-STUDIES IN THE CULTURAL POLITICS OF EDUCATION,01596306; 14693739
REV-0149,INTERNATIONAL JOURNAL OF LAW AND PSYCHIATRY,01602527; 18736386
REV-0150,Political Psychology,0162895X; 14679221
REV-0151,"Research in Social Movements, Conflicts and Change",0163786X
REV-0152,CULTURE MEDICINE AND PSYCHIATRY,0165005X; 1573076X
REV-0153,Archives of Gerontology and Geriatrics,01674943
REV-0154,APPLIED ANIMAL BEHAVIOUR SCIENCE,01681591; 18729045
REV-0155,Computers and Electronics in Agriculture,01681699; 18727107
REV-0156,Surveys in Geophysics,01693298; 15730956
REV-0157,HISTORICAL SOCIAL RESEARCH-HISTORISCHE SOZIALFORSCHUNG,01726404
REV-0158,REVISTA MEXICANA DE CIENCIAS POLITICAS Y SOCIALES,01851918
REV-0159,Perfiles Educativos,01852698
REV-0160,Estudios Sociologicos,01854186; 24486442
REV-0161,REVISTA MEXICANA DE PSICOLOGIA,01856073
REV-0162,Acta Sociológica,01866028; 24484938
REV-0163,ESTUDIOS DEMOGRAFICOS Y URBANOS,01867210; 24486515
REV-0164,SOCIOLOGICA (MEXICO),01870173
REV-0165,ESTUDIOS FRONTERIZOS,01876961; 23959134
REV-0166,Revista Mexicana de Sociologia,01882503; 25940651
REV-0167,Revista de Arqueología Americana,01883631; 26634066
REV-0168,PERFILES LATINOAMERICANOS,01887653; 23094982
REV-0169,CHILDREN AND YOUTH SERVICES REVIEW,01907409; 18737765
REV-0170,Journal of Family Issues,0192513X; 15525481
REV-0171,Family Relations,01976664; 17413729
REV-0172,Human Immunology,01988859; 18791166
REV-0173,POPULATION AND ENVIRONMENT,01990039; 15737810
REV-0174,Siglo Cero: Revista Española sobre Discapacidad Intelectual,02101696; 25300350
REV-0175,PAPERS-REVISTA DE SOCIOLOGIA,02102862; 20139004
REV-0176,JOURNAL FOR THE STUDY OF EDUCATION AND DEVELOPMENT,02103702; 15784126
REV-0177,STUDIES IN PSYCHOLOGY,02109395; 15793699
REV-0178,QUADERNS DE PSICOLOGIA,02113481; 20144520
REV-0179,ENRAHONAR-QUADERNS DE FILOSOFIA,0211402X; 2014881X
REV-0180,Quaderns de l'Institut Català d'Antropologia,02115557; 23854472
REV-0181,DEBATS-REVISTA DE CULTURA PODER I SOCIETAT,02120585; 25303074
REV-0182,NUTRICION HOSPITALARIA,02121611; 16995198
REV-0183,RIE-REVISTA DE INVESTIGACION EDUCATIVA,02124068; 19899106
REV-0184,ANALES DE PSICOLOGIA,02129728; 16952294
REV-0185,INTERNATIONAL JOURNAL OF SOCIAL PSYCHOLOGY,02134748; 15793680
REV-0186,GACETA SANITARIA,02139111; 15781283
REV-0187,CUADERNOS DE TRABAJO SOCIAL,02140314; 19888295
REV-0188,PSICOTHEMA,02149915; 1886144X
REV-0189,Staps,0247106X; 17821568
REV-0190,EURE-REVISTA LATINOAMERICANA DE ESTUDIOS URBANO REGIONALES,02507161; 07176236
REV-0191,CEPAL review,02512920; 16840348
REV-0192,Apuntes Revista de Ciencias Sociales,02521865; 22231757
REV-0193,Revista Ciencias Sociales,02528681; 29608163
REV-0194,REVISTA CRITICA DE CIENCIAS SOCIAIS,02541106
REV-0195,REVISTA DE PSICOLOGIA PUCP,02549247; 22233733
REV-0196,Journal fur Entwicklungspolitik,02582384
REV-0197,CRITICAL SOCIAL POLICY,02610183; 1461703X
REV-0198,BULLETIN OF LATIN AMERICAN RESEARCH,02613050; 14709856
REV-0199,SOCIAL WORK EDUCATION,02615479; 14701227
REV-0200,Journal of Social and Personal Relationships,02654075; 14603608
REV-0201,Research Papers in Education,02671522; 14701146
REV-0202,International Sociology,02685809; 14617242
REV-0203,The Journal of Early Adolescence,02724316; 15525449
REV-0204,AMERICAN JOURNAL OF PRIMATOLOGY,02752565; 10982345
REV-0205,MOUNTAIN RESEARCH AND DEVELOPMENT,02764741; 19947151
REV-0206,RESEARCH IN SOCIAL STRATIFICATION AND MOBILITY,02765624
REV-0207,QUATERNARY SCIENCE REVIEWS,02773791
REV-0208,JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY,02784165; 10902686
REV-0209,RESOURCES POLICY,03014207; 18737641
REV-0210,COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY,03015661; 16000528
REV-0211,Lecture Notes in Computer Science,03029743; 16113349
REV-0212,Bulletin de l’Institut français d’études andines,03037495; 20765827
REV-0213,SOCIAL INDICATORS RESEARCH,03038300; 15730921
REV-0214,Scientia Horticulturae,03044238; 18791018
REV-0215,BOSQUE,03048799; 07179200
REV-0216,Journal of Oral Rehabilitation,0305182X; 13652842
REV-0217,JOURNAL OF ARCHAEOLOGICAL SCIENCE,03054403; 10959238
REV-0218,WORLD DEVELOPMENT,0305750X; 18735991
REV-0219,Compare A Journal of Comparative and International Education,03057925; 14693623
REV-0220,STUDIES IN HIGHER EDUCATION,03075079; 1470174X
REV-0221,Marine Policy,0308597X; 18729460
REV-0222,International Journal of Urban and Regional Research,03091317; 14682427
REV-0223,Capital & Class,03098168; 20410980
REV-0224,JOURNAL OF GEOGRAPHY IN HIGHER EDUCATION,03098265; 14661845
REV-0225,AUSTRALIAN ARCHAEOLOGY,03122417; 24700363
REV-0226,"RUNA, archivo para las ciencias del hombre",03251217; 18519628
REV-0227,INTERDISCIPLINARIA,03258203; 16687027
REV-0228,Comechingonia Revista de Arqueología,03267911; 22507728
REV-0229,ARQUEOLOGIA,03275159; 18538126
REV-0230,Papeles de trabajo - Centro de Estudios Interdisciplinarios en Etnolingüística y Antropología Socio-Cultural/Papeles de trabajo,03276147; 18524508
REV-0231,REVISTA ARGENTINA DE CLINICA PSICOLOGICA,03276716
REV-0232,Quinto Sol,03292665; 18512879
REV-0233,EDUCATIONAL GERONTOLOGY,03601277; 15210472
REV-0234,Acta Paediatrica,03651436; 08035253; 16512227
REV-0235,Anales de la Universidad de Chile,03657779; 07178883
REV-0236,BEHAVIOURAL PROCESSES,03766357; 18728308
REV-0237,INTERCIENCIA,03781844
REV-0238,Revista Internacional del Trabajo,03785548; 15649148
REV-0239,Revue internationale du Travail,03785599; 15649121
REV-0240,Energy and Buildings,03787788
REV-0241,FORENSIC SCIENCE INTERNATIONAL,03790738; 18726283
REV-0242,REVISTA EDUCACION,03797082; 22152644
REV-0243,REVISTA DE GEOGRAFIA NORTE GRANDE,03798682; 07183402
REV-0244,Revista Colombiana de Antropologia,04866525
REV-0245,AISTHESIS,05683939; 07187181
REV-0246,Canadian Journal of Community Mental Health,07133936; 19297084
REV-0247,ESTUDIOS INTERNACIONALES (SANTIAGO),07160240; 07193769
REV-0248,Revista Chilena de Urología,07160429
REV-0249,ESTUDIOS PEDAGOGICOS (VALDIVIA),0716050X; 07180705
REV-0250,ARQ,07160852; 07176996
REV-0251,ESTUDIOS ATACAMENOS,07160925; 07181043
REV-0252,Revista chilena de infectología,07161018; 07176341
REV-0253,Política. Revista de Ciencia Política,07161077; 07195338
REV-0254,Estudios Públicos,07161115; 07183089
REV-0255,CHUNGARA-REVISTA DE ANTROPOLOGIA CHILENA,07161182; 07177356
REV-0256,REVISTA DE CIENCIA POLITICA,07161417; 0718090X
REV-0257,AMBIENTE Y DESARROLLO,07161476
REV-0258,BOLETIN DEL MUSEO CHILENO DE ARTE PRECOLOMBINO,07161530; 07186894
REV-0259,REVISTA CHILENA DE NUTRICION,07161549; 07177518
REV-0260,REVISTA CUHSO,07161557; 07192789; 2452610X
REV-0261,CUADERNOS INFO,0716162X; 07178697; 07193661; 0719367X
REV-0262,Cuadernos de historia (Santiago),07161832; 07191243
REV-0263,ATENEA,07161840; 07180462
REV-0264,Dialogo andino,07162278; 07192681
REV-0265,REVISTA MUSICAL CHILENA,07162790; 07176252
REV-0266,Revista Chilena de Antropología,07163312; 07191472
REV-0267,Comunicación y Medios,07163991; 07191529
REV-0268,ALPHA-REVISTA DE ARTES LETRAS Y FILOSOFIA,07164254; 07182201
REV-0269,UNIVERSUM-REVISTA DE HUMANIDADES Y CIENCIAS SOCIALES,0716498X; 07182376
REV-0270,Boletín de la Sociedad Chilena de Arqueología,07165730; 27357651
REV-0271,TERAPIA PSICOLOGICA,07166184; 07184808
REV-0272,Revista de Sociología,0716632X; 0719529X
REV-0273,Persona y Sociedad,0716730X; 07190883
REV-0274,Temas de educación.,07167423; 07198639
REV-0275,Revista de psicología,07168039; 07190581
REV-0276,REVISTA MEDICA CLINICA LAS CONDES,07168640
REV-0277,Horizonte de enfermeria,07168861; 07196946
REV-0278,Revista de Trabajo Social,07169736; 27357228
REV-0279,BIOLOGICAL RESEARCH,07169760; 07176287
REV-0280,Revista LIDER,07170165; 07195265
REV-0281,De Familias y Terapias,07170173; 28106172
REV-0282,Psykhe,07170297; 07182228
REV-0283,Revista de humanidades (Santiago. En línea),07170491; 2452445X
REV-0284,Pensamiento Educativo,07171013; 07190409
REV-0285,Revista Perspectivas Notas sobre intervención y acción social,07171714; 0719661X
REV-0286,Revista de la Academia,07171846; 07196318
REV-0287,Revista de ciencias sociales.,07172257; 07183631
REV-0288,FORO EDUCACIONAL,07172710; 07180772
REV-0289,Nomadías,07172761; 07190905
REV-0290,IUS ET PRAXIS,07172877; 07180012
REV-0291,REVISTA AUSTRAL DE CIENCIAS SOCIALES,07173202; 07181795
REV-0292,Revista Enfoques Educacionales,07173229; 27357279
REV-0293,Revista Chilena de Salud Pública,07173652; 07195281
REV-0294,URBANO,07173997; 07183607
REV-0295,CALIDAD EN LA EDUCACION,07174004; 07184565
REV-0296,Revista Chilena de Fonoaudiología,07174659; 07194692
REV-0297,ULTIMA DECADA,07174691; 07182236
REV-0298,Castalia - Revista de Psicología de la Academia,07174985; 07198051
REV-0299,REVISTA DE URBANISMO,07175051
REV-0300,CINTA DE MOEBIO,0717554X
REV-0301,ACTA BIOETHICA,07175906; 1726569X
REV-0302,Anales de Literatura Chilena,07176058; 07190913
REV-0303,Medwave,07176384
REV-0304,Polis (Santiago),07176554; 07186568
REV-0305,Estado Gobierno y Gestión Pública,07176759; 07178980
REV-0306,Revista de estudios y experiencias en educación,07176945; 07185162
REV-0307,PSICOPERSPECTIVAS,07177798; 07186924
