folio_u;tit_propio;nombre_edi;es_enlinea;catalogada;id_catalogo;nombre_largo;issn_e;issn_l;issn_imp;subtemas
23289;(an)ecdótica;"Universidad Nacional Autónoma de México, Instituto de Investigaciones Filológicas";1;1;9727;México;2683-166X;2683-166X;;"Literatura, Filología"
21565;(Con)textos;"Universitat de Barcelona";1;1;8675;España;2013-0864;2013-0864;;Antropología
28588;(Des)troços;"Universidade Federal de Minas Gerais (UFMG)";1;1;11500;Brasil;2763-518X;2763-518X;;"Ciencias sociales y humanidades, Derecho y jurisprudencia, Filosofía, Humanidades, Estudios de género, Derechos humanos"
23305;"(En)clave Comahue";"Universidad Nacional del Comahue, Facultad de Derecho y Ciencias Sociales";1;1;9736;Argentina;2545-6393;2545-6393;;"Ciencia política y administración pública, Ciencias sociales y humanidades"
22285;"[I²]: innovación e investigación en arquitectura y territorio";"Universidad de Alicante";1;1;9179;España;2341-0515;2341-0515;;"Arquitectura, Bellas artes, Urbanismo"
22037;[IN]Genios;"Universidad de Puerto Rico, Recinto de Río Piedras.";1;1;9013;"Puerto Rico";2374-2747;2374-2747;;Multidisciplinarias
46;[Sic];"Asociación de Profesores de Literatura";1;1;29;Uruguay;1688-9398;1688-9398;1688-938X;"Cultura, Literatura, Humanidades"
25160;#PerDebate;"Universidad San Francisco de Quito";1;1;10444;Ecuador;2697-3294;;;"Ciencias de la comunicación"
24857;"1991. Revista de Estudios Internacionales";"Universidad Nacional de Córdoba, Facultad de Ciencias Sociales";1;1;10341;Argentina;2683-720X;2683-720X;;"Ciencia política y administración pública, Ciencias sociales y humanidades, Derecho internacional, Relaciones internacionales"
27691;"2I Revista de estudos de identidade e intermedialidade";"Centro de Estudos Humanísticos da Universidade do Minho";1;1;11201;Portugal;2184-7010;2184-7010;;"Arte, Filosofía, Literatura, Humanidades"
24858;360;"Pontificia Universidad Católica del Perú. Departamento Académico de Ciencias de la Gestión";1;1;10342;Perú;2518-0495;2415-5861;;Administración
18844;"3C empresa";"Área de Innovación y Desarrollo S.L.";1;1;7049;España;2254-3376;2254-3376;;"Desarrollo económico, Economía de la empresa, Planeamiento científico y tecnológico"
18845;"3C tecnología";"Área de innovación y desarrollo S.L";1;1;7050;España;2254-4143;2254-4143;;Tecnología
18846;"3C TIC";"Área de Innovación y Desarrollo S.L.";1;1;7051;España;2254-6529;2254-6529;;Computación
61;"452º F. Revista de Teoría de la literatura y Literatura Comparada";"Asociación Cultural 452ºF";1;1;31;España;2013-3294;;;Literatura
24065;"A Contracorriente";"North Carolina State University, Department of Foreign Languages and Literatures";1;1;10112;"Iberoamericanistas-América del Norte";1548-7083;1548-7083;;"Lingüística, Literatura, Estudios latinoamericanos"
24130;"A&P continuidad";"A&P Ediciones";1;1;10135;Argentina;2362-6097;2362-6089;;"Arquitectura, Diseño, Urbanismo"
22666;A3manos;"Universidad de La Habana, Instituto Superior de Diseño";1;1;11470;Cuba;2412-5105;2412-5105;;Diseño
24157;"Ab Intus";"Universidad Nacional de Río Cuarto, Facultad de Agronomía y Veterinaria";1;1;10150;Argentina;2618-2734;2618-2734;;"Agronomía, Ganadería, Pesca, Silvicultura, Veterinaria, Zootecnia"
122;"Abanico veterinario";"Sergio Martínez González";1;1;47;México;2448-6132;2007-428X;2007-428X;"Ecología, Ganadería, Parasitología, Veterinaria, Zoología, Zootecnia"
132;"Abra ";"Universidad Nacional de Costa Rica";1;1;48;"Costa Rica";2215-2997;1409-3928;1409-3928;"Antropología, Ciencia política y administración pública, Ciencias de la comunicación, Ciencias sociales y humanidades, Educación, Geografía, Historia, Sociología"
21729;Abril;"Universidade Federal Fluminense (UFF)";1;1;8793;Brasil;1984-2090;1984-2090;;Literatura
22094;Academia;"Universidad de Buenos Aires. Facultad de Derecho. Departamento de Publicaciones.";1;1;9043;Argentina;2422-7153;1667-4154;;"Derecho y jurisprudencia"
18853;"Academia XXII";"Universidad Nacional Autónoma de México, Facultad de Arquitectura";1;1;7054;México;2594-083X;2007-252X;2007-252X;"Arquitectura, Urbanismo"
22803;Academo;"Universidad Americana";1;1;9459;Paraguay;2414-8938;2414-8938;;"Ciencias sociales y humanidades, Multidisciplinarias, Humanidades"
28886;"Ação Ergonômica";"Associação Brasileira de Ergonomia (ABERGO)";1;1;11543;Brasil;2965-7318;1519-7859;;"Ciencias sociales y humanidades"
24685;"Acc Cietna";"Universidad Católica Santo Toribio de Mogrovejo, Escuela de Enfermería";1;1;10278;Perú;2309-8570;2309-8570;;Enfermería
28293;ACCADERE;"Universidad de La Laguna";1;1;11379;España;2660-9142;2660-9142;;"Arte, Artes plásticas, Cine, Cultura, Historia del arte, Pintura"
163;"Acceso: Revista Puertorriqueña de Bibliotecología y Documentación";"Sociedad de Bibliotecarios de Puerto Rico";1;1;53;"Puerto Rico";2690-0270;1536-1772;1536-1772;"Bibliotecología, Ciencias de la información"
27004;Accesos;"GIPAFCoCo (Grupo de investigación Prácticas Artísticas y Formas de Conocimiento Contemporáneas)";1;1;11162;España;2530-4488;2530-447X;2530-447X;"Arte, Artes plásticas, Bellas artes, Fotografía, Historia del arte, Pintura"
164;Acción;"Universidad de Ciencias de la Cultura Física y el Deporte “Manuel Fajardo”";1;1;54;Cuba;1812-5808;1608-3792;;Deportes
168;"Acción Motriz";"Asociación Científico Cultural en Actividad Física y Deporte (ACCAFIDE)";1;1;56;España;1989-2837;1989-2837;;Deportes
171;"Acción psicológica";"Universidad Nacional de Educación a Distancia, Facultad de Psicología, Servicio de Psicología Aplicada";1;1;58;España;2255-1271;1578-908X;1578-908X;Psicología
23919;"Acción y Reflexión Educativa";"Universidad de Panamá, Instituto Centroamericano de Administración y Supervisión de la Educación (ICASE)";1;1;10055;Panamá;2644-3775;1563-2911;;"Educación, Planificación educativa, Tecnología educativa, Educación media o secundaria, Educación primaria, Educación superior"
173;"Acciones e investigaciones sociales";"Universidad de Zaragoza, Facultad de Ciencias Sociales y del Trabajo";1;1;59;España;2340-4507;1132-192X;1132-192X;"Derecho laboral, Economía, Sociología, Trabajo social"
23953;"ACDI Anuario Colombiano de Derecho Internacional";"Editorial Universidad del Rosario";1;1;11425;Colombia;2145-4493;2027-1131;2027-1131;"Derecho internacional"
175;"ACE. Architecture, City and Environment";"Universidad Politécnica de Cataluña, Centro de Política de Suelo y Valoraciones";1;1;60;España;1886-4805;;1887-7052;"Urbanismo, Planificación urbana"
178;Acervo;"Arquivo Nacional";1;1;62;Brasil;2237-8723;0102-700X;0102-700X;"Ciencias de la información, Ciencias sociales y humanidades, Historia"
24855;"ACI Avances en Ciencias e Ingenierías";"USFQ PRESS de Universidad San Francisco de Quito USFQ";1;1;10340;Ecuador;2528-7788;;;"Física, Ingeniería, Matemáticas, Química, Ciencias exactas"
198;"Acta académica";"Universidad Autónoma de Centro América";1;1;11315;"Costa Rica";2215-383X;;1017-7507;Multidisciplinarias
22020;"Acta artis";"Universitat de Barcelona";1;1;9001;España;2014-1912;2014-1912;2339-7691;"Arquitectura, Arte, Bellas artes"
205;"Acta bioethica";"Universidad de Chile, Centro Interdisciplinario de Estudios en Bioética";1;1;72;Chile;1726-569X;0717-5906;0717-5906;Medicina
210;"Acta bioquímica clínica latinoamericana";"Federación Bioquímica de la Provincia de Buenos Aires";1;1;75;Argentina;1851-6114;0325-2957;0325-2957;Bioquímica
18406;"Acta Botanica Malacitana";"UMA Editorial";1;1;6868;España;2340-5074;0210-9506;0210-9506;Botánica
215;"Acta botánica mexicana";"Instituto de Ecología A.C., Centro Regional del Bajío";1;1;80;México;2448-7589;0187-7151;0187-7151;"Biología, Botánica"
23823;"Acta Brasiliensis";"Universidade Federal de Campina Grande (UFCG)";1;1;10014;Brasil;2526-4338;2526-432X;;"Biología, Biotecnología, Ecología, Ciencias de la tierra, Ciencia y Tecnología"
232;"Acta de investigación psicológica";"Universidad Nacional Autónoma de México, Facultad de Psicología";1;1;89;México;2007-4719;2007-4719;2007-4832;Psicología
18856;"Acta Fisiátrica";"Universidade de São Paulo (USP)";1;1;7057;Brasil;2317-0190;0104-7795;0104-7795;"Terapéutica y rehabilitación"
249;"Acta geológica lilloana";"Fundación Miguel Lillo";1;1;99;Argentina;1852-6217;0567-7513;0567-7513;Geología
27408;"Acta Hispanica";"Universidad de Szeged, Departmento de Estudios Hispánicos";1;1;11064;Iberoamericanistas-Europa;2676-9719;1416-7263;;"Cultura, Historia, Lingüística, Literatura, Humanidades"
256;"Acta literaria";"Facultad de Educación, Humanidades y Arte, Departamento de Español";1;1;104;Chile;0717-6848;0716-0909;0716-0909;Literatura
261;"Acta Médica Costarricense";"Colegio de Médicos y Cirujanos de Costa Rica";1;1;108;"Costa Rica";2215-5856;0001-6012;0001-6012;Medicina
23386;"Acta Médica del Centro";"Hospital Provincial Clínico Quirúrgico Universitario “Arnaldo Milián Castro";1;1;9789;Cuba;2709-7927;2709-7927;;"Salud pública"
19944;"Acta médica peruana";"Colegio Médico del Perú";1;1;7715;Perú;1728-5917;1018-8800;1018-8800;Medicina
268;"Acta médica portuguesa";"Ordem dos Médicos";1;1;113;Portugal;1646-0758;0870-399X;0871-4673;Medicina
275;"Acta neurológica colombiana";"Asociación Colombiana de Neurología";1;1;117;Colombia;2422-4022;0120-8748;0120-8748;Neurología
26967;"Acta Oceanográfica del Pacífico";"Instituto Oceanográfico y Antártico de la Armada";1;1;10963;Ecuador;2806-5522;;;"Ciencias atmosféricas, Oceanografía, Medio ambiente"
4817;"Acta Odontológica Colombiana";"Universidad Nal. De Colombia-Facultad de Odontología";1;1;1541;Colombia;2027-7822;2027-7822;;Odontología
290;"Acta pediátrica de México";"Edición y Farmacia S.A. de C.V.";1;1;124;México;2395-8235;0186-2391;0186-2391;"Medicina, Pediatría"
296;"Acta poética";"Universidad Nacional Autónoma de México. Instituto de Investigaciones Filológicas";1;1;127;México;2448-735X;0185-3082;0185-3082;Literatura
302;"Acta reumatológica portuguesa";"Sociedade Portuguesa de Reumatologia";1;1;130;Portugal;0303-464X;0303-464X;;"Medicina, Reumatología"
308;"Acta Scientiarum. Agronomy";"Universidade Estadual de Maringá (UEM)";1;1;134;Brasil;1807-8621;1679-9275;1679-9275;Agronomía
311;"Acta Scientiarum. Education";"Universidade Estadual de Maringá (UEM)";1;1;137;Brasil;2178-5201;2178-5198;;"Ciencias sociales y humanidades, Educación"
315;"Acta Scientiarum. Technology";"Universidade Estadual de Maringá (UEM)";1;1;141;Brasil;1807-8664;1806-2563;1806-2563;Tecnología
317;"Acta sociológica";"Universidad Nacional Autónoma de México, Facultad de Ciencias Políticas y Sociales, Centro de Estudios Sociológicos";1;1;142;México;2448-4938;0186-6028;0186-6028;Sociología
322;"Acta universitaria";"Universidad de Guanajuato, Dirección de Investigación y Posgrado";1;1;144;México;2007-9621;2007-9621;0188-6266;Multidisciplinarias
325;"Acta zoológica lilloana";"Fundación Miguel Lillo, Dirección de Zoología";1;1;147;Argentina;1852-6098;0065-1729;0065-1729;"Biología, Salud pública, Veterinaria, Zoología"
326;"Acta zoológica mexicana. Nueva serie";"Instituto de Ecología A.C.";1;1;148;México;2448-8445;0065-1737;0065-1737;"Ecología, Zoología"
26694;"Actas de arquitectura religiosa contemporánea";"Servicio de Publicaciones de la Universidade da Coruña (España)";1;1;11940;España;2659-8671;2659-8671;;"Arquitectura, Historia, Historia del arte, Religión"
29137;"ACTAS MÉDICAS (ECUADOR).";"Hospital Alcívar";1;1;11582;Ecuador;2960-8309;;;"Cirugía, Ginecologia y obstetricia, Medicina, Pediatría, Traumatología y ortopedia"
24159;Actio;"Universidade Tecnológica Federal do Paraná (UTFPR)";1;1;10152;Brasil;2525-8923;2525-8923;;"Educación, Educación media o secundaria, Educación primaria, Educación superior"
27584;"ACTIO Journal of technology in design, film arts and visual communication";"Universidad Nacional de Colombia";1;1;11327;Colombia;2665-1890;2665-1890;;"Arte, Artes plásticas, Bellas artes, Cine, Diseño, Humanidades"
24674;"Actio nova";"Servicio de Publicaciones de la Universidad Autónoma de Madrid, España";1;1;10272;España;2530-4437;2530-4437;;"Lingüística, Literatura, Humanidades, Filología"
368;"Actividad Física y Deporte: Ciencia y Profesión";"Collegi Oficial de Llicenciats en Educació Física i en Ciències de l'Activitat Física i de l'Esport de la Comunitat Valenciana (COLEF CV)";1;1;164;España;2659-8930;2659-8930;1578-2484;Deportes
13056;"Actividad física y desarrollo humano";"Universidad de Pamplona";1;1;4572;Colombia;2711-3043;1692-7427;1692-7427;Multidisciplinarias
25434;Actos;"Universidad Academia de Humanismo Cristiano, Facultad de Artes";1;1;11263;Chile;2452-4727;2452-4727;;"Arte, Bellas artes, Cultura, Humanidades, Teatro, Danza"
425;"Actualidad jurídica ambiental";"Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas (CIEMAT). Centro Internacional de Estudios de Derecho Ambiental (CIEDA-CIEMAT)";1;1;170;España;1989-5666;;;"Derecho y jurisprudencia, Derecho agrario, Derecho comparado, Derecho internacional, Derecho marítimo, Derecho público, Ecología"
436;"Actualidades biológicas";"Universidad de Antioquia Instituto de Biología";1;1;172;Colombia;2145-7166;0304-3584;0304-3584;Biología
439;"Actualidades en psicología";"Universidad de Costa Rica, Facultad de Ciencias Sociales. Instituto de Investigaciones Psicológicas";1;1;173;"Costa Rica";2215-3535;0258-6444;0258-6444;Psicología
440;"Actualidades Investigativas en Educación";"Universidad de Costa Rica";1;1;174;"Costa Rica";1409-4703;1409-4703;;Educación
25146;"Actualización en nutrición";"Sociedad Argentina de Nutrición";1;1;10439;Argentina;2250-7183;1667-8052;;"Endocrinología y nutriología, Farmacología, Medicina"
27931;"Actualizaciones en Sida e Infectología.";"Fundación Huésped";1;1;11348;Argentina;2718-7845;2718-7845;;"Epidemiología, Infectología, Inmunología, Medicina, Salud pública"
23435;"Ad limina";"Xunta de Galicia";1;1;9810;España;2659-5885;2171-620X;2171-620X;"Arte, Historia, Literatura, Música, Humanidades"
27874;"Ad majorem patriae gloriam";"Escuela Superior de Guerra Aérea de la Fuerza Aérea del Perú";1;1;11198;Perú;2955-876X;2618-0499;;"Defensa y seguridad, Ingeniería aeronáutica"
27697;Ad-Gnosis;"Corporación Universitaria Americana";1;1;11436;Colombia;2745-1364;2344-7516;2344-7516;"Administración, Economía, Educación, Relaciones internacionales, Finanzas"
473;adComunica;"adComunica. Asociación para el Desarrollo de la Comunicación";1;1;187;España;2254-2728;2174-0992;2174-0992;"Ciencias de la comunicación"
18864;"Administração Pública e Gestão Social";"Universidade Federal de Viçosa (UFV)";1;1;7062;Brasil;2175-5787;2175-5787;;"Administración, Ciencia política y administración pública, Ciencias sociales y humanidades"
486;"Administración & cidadanía";"Escola Galega de Administración Pública";1;1;192;España;1887-5270;1887-0279;1887-0279;Administración
491;"Administración y desarrollo";"Escuela Superior de Administración Pública de Colombia, Centro de Investigaciones en Administración Pública";1;1;195;Colombia;2500-5227;0120-3754;0120-3754;"Ciencia política y administración pública"
495;"Administración y organizaciones";"Universidad Autónoma Metropolitana, Unidad Xochimilco, Departamento de Producción Económica";1;1;196;México;2683-2534;1665-014X;1665-014X;Administración
499;"aDResearch ESIC";"ESIC Editorial";1;1;198;España;2340-3144;1889-7304;1889-7304;"Ciencias de la comunicación"
24155;"Advances in building education";"Universidad Politécnica de Madrid";1;1;10148;España;2530-7940;2530-7940;;"Arquitectura, Educación, Ingeniería civil, Ingeniería de materiales, Educación media o secundaria, Educación superior"
24192;"Advances in Distributed Computing and Artificial Intelligence Journal";"Salamanca University Press";1;1;10164;España;2255-2863;2255-2863;;"Computación, Inteligencia artificial-robótica, Telecomunicaciones"
28893;"Advances in Science and Innovation";"Universidad Nacional Autónoma Altoandina de Tarma";1;1;11898;Perú;2961-2012;2961-2012;;Multidisciplinarias
22408;Advocatus;"Asociación Civil ADV Editores";1;1;9251;Perú;2523-6261;1996-4773;1996-4773;"Derecho y jurisprudencia"
521;Aestimatio;"Instituto de Estudios Bursátiles";1;1;204;España;2173-1926;2173-0164;2173-0164;"Economía, Finanzas"
24912;Afluir;"AASA. Asociación Acción Social por el Arte";1;1;10366;España;2659-7721;2659-7721;;"Arte, Cultura, Educación"
529;Afro-Ásia;"Universidade Federal da Bahia, Faculdade de Filosofia e Ciências Humanas";1;1;210;Brasil;1981-1411;0002-0591;0002-0591;"Antropología, Historia"
22406;"Agenda Internacional";"Pontificia Universidad Católica del Perú. Instituto de Estudios Internacionales";1;1;9250;Perú;2311-5718;1027-6750;1027-6750;"Ciencia política y administración pública, Derecho internacional, Economía, Historia, Relaciones internacionales"
539;"Ager. Revista de estudios sobre despoblación y desarrollo rural";"Centro de Estudios sobre la Despoblación y Desarrollo de Áreas Rurales";1;1;213;España;2340-4655;1578-7168;1578-7168;"Demografía, Geografía, Desarrollo económico"
22404;Agora;"Universidad María Auxiliadora. Oficina de Investigación y Creatividad Intelectual";1;1;9248;Perú;2412-804X;2412-2300;;Multidisciplinarias
23869;"Ágora de Heterodoxias";"Universidad Centroccidental Lisandro Alvarado (UCLA)";1;1;10034;Venezuela;2443-4361;2443-4361;;"Administración, Ciencia política y administración pública, Ciencias sociales y humanidades, Contabilidad, Economía, Educación, Sociología, Turismo"
550;"Ágora para la educación física y el deporte";"Universidad de Valladolid";1;1;217;España;1989-7200;1578-2174;1578-2174;"Deportes, Educación"
25195;"Ágora UNLaR";"Universidad Nacional de La Rioja";1;1;10448;Argentina;2545-6024;2545-6024;;"Arte, Artes plásticas, Bellas artes, Cultura, Literatura, Música, Pintura, Humanidades, Teatro, Poesía, Danza"
555;"Ágora. Estudos Clássicos em debate";"Universidade de Aveiro, Departamento de Línguas e Culturas";1;1;221;Portugal;2183-4334;0874-5498;;"Cultura, Literatura"
556;"Agora. Papeles de Filosofía";"USC, Servizo de Publicacións e Intercambio Científico";1;1;222;España;2174-3347;0211-6642;0211-6642;Filosofía
560;Agrarian;"Universidade Federal da Grande Dourados (UFGD)";1;1;223;Brasil;1984-2538;1984-252X;;"Agronomía, Silvicultura, Veterinaria, Zootecnia"
577;"Agricultura, sociedad y desarrollo";"Colegio de Postgraduados";1;1;229;México;2594-0244;1870-5472;1870-5472;"Agronomía, Antropología, Cultura, Sociología"
19950;Agriscientia;"Universidad Nacional de Córdoba; Facultad de Ciencias Agropecuarias";1;1;7716;Argentina;1668-298X;0327-6244;0327-6244;Agronomía
18874;"Agro productividad";"Colegio de Postgraduados";1;1;7068;México;2594-0252;2448-7546;2448-7546;"Agronomía, Multidisciplinarias"
21795;Agrociencia;"Universidad de la República, Facultad de Agronomía. Instituto Nacional de Investigación Agropecuaria (INIA)";1;1;8838;Uruguay;2301-1548;1510-0839;;"Agronomía, Ganadería, Silvicultura"
594;Agrociencia;"Colegio de Postgraduados";1;1;236;México;2521-9766;1405-3195;1405-3195;Agronomía
23522;Agrociencia;"Universidad de El Salvador";1;1;9861;"El Salvador";2522-6509;2522-6509;;"Agronomía, Ecología, Ganadería, Geología, Medio ambiente, Ciencias naturales"
26047;"Agrociencia Uruguay";"Universidad de la República, Facultad de Agronomía. Instituto Nacional de Investigación Agropecuaria (INIA)";1;1;10765;Uruguay;2730-5066;2730-5066;;"Agronomía, Ganadería, Silvicultura"
21559;"Agroindustrial Science";"Universidad Nacional de Trujillo. Facultad de Ciencias Agropecuarias";1;1;8671;Perú;2226-2989;2226-2989;;"Tecnología de alimentos, Industria"
612;"Agronomía Costarricense";"Editorial de la Universidad de Costa Rica";1;1;239;"Costa Rica";2215-2202;0377-9424;0377-9424;"Agronomía, Biotecnología"
614;"Agronomía Mesoamericana";"Universidad de Costa Rica";1;1;240;"Costa Rica";2215-3608;1021-7444;1021-7444;"Agronomía, Ganadería, Zootecnia"
27322;"Agropecuária Catarinense";"Empresa de pesquisa agropecuária e extensão rural de Santa Catarina (EPAGRI)";1;1;11113;Brasil;2525-6076;0103-0779;0103-0779;"Agronomía, Pesca, Silvicultura, Edafología, Zootecnia, Medio ambiente"
630;"Agrotecnia de Cuba";"Instituto de   Investigaciones Fundamentales en Agricultura Tropical “Alejandro de Humboldt”";1;1;11951;Cuba;2414-4673;0568-3114;;"Agronomía, Biología, Botánica, Silvicultura"
22360;"Agua, saneamiento & ambiente";"Universidad de San Carlos de Guatemala, Facultad de Ingeniería, Escuela Regional de Ingeniería Sanitaria y Recursos Hidráulicos (ERIS)";1;1;9228;Guatemala;2224-9958;2222-2499;2222-2499;"Ingeniería sanitaria, Ingeniería hidráulica"
1954;"AIA Avances en investigación agropecuaria";"Universidad de Colima";1;1;738;México;2683-1716;2638-1716;0188-7890;"Agronomía, Pesca, Silvicultura"
644;"AIBR. Asociación de Antropólogos Iberoamericanos en Red";"Asociación de Antropólogos Iberoamericanos en Red";1;1;244;España;1578-9705;1578-9705;;"Antropología, Estudios latinoamericanos"
27917;"Aiken Revista de Ciencias Sociales y de la Salud.";"Juliana Burgos";1;1;11247;Argentina;2796-7506;"2796- 739";2796-7395;"Antropología, Ciencias sociales y humanidades, Multidisciplinarias, Sociología, Estudios sociales de la salud"
648;Aisthesis;"Pontificia Universidad Católica de Chile, Instituto de Estética, Facultad de Filosofía";1;1;245;Chile;0718-7181;0568-3939;0568-3939;"Arte, Bellas artes"
652;Akadèmeia;"Universidad Gabriela Mistral";1;1;247;Chile;0718-9397;0717-9936;0717-9936;"Filosofía, Psicología"
666;"Al-Andalus Magreb";"Universidad de Cádiz, Servicio de Publicaciones";1;1;252;España;2660-7697;1133-8571;1133-8571;"Multidisciplinarias, Humanidades"
18877;Al-Basit;"Diputación Provincial de Albacete, Instituto de Estudios Albacetenses";1;1;7069;España;2695-6888;0212-8632;0212-8632;"Cultura, Estudios locales"
724;"Al-Qantara. Revista de Estudios Árabes";"Editorial CSIC";1;1;275;España;1988-2955;0211-3589;0211-3589;"Multidisciplinarias, Humanidades"
658;"Álabe. Revista de la red de universidades lectoras";"Universidad de Almeria; Red de Universidades Lectoras";1;1;250;España;2171-9624;0211-1446;;"Lingüística, Literatura, Humanidades"
28189;Albores;"Universidad Autónoma de Querétaro";1;1;11581;México;2954-3878;2954-3878;;"Ciencia política y administración pública, Ciencias sociales y humanidades"
24995;Albuquerque;"Universidade Federal de Mato Grosso do Sul (UFMS)";1;1;10396;Brasil;2526-7280;1983-9472;;"Multidisciplinarias, Humanidades"
21711;"Alcances tecnológicos";INTA;1;1;8780;"Costa Rica";2215-5481;1659-0538;1659-0538;"Agronomía, Ganadería, Pesca, Silvicultura, Edafología, Zootecnia"
27885;"Alejandría: revista de Historia y Arte";CEPOAT;1;1;11638;España;2952-1491;2952-1491;;"Arqueología, Arte, Historia, Historia del arte, Humanidades, Prehistoria"
24860;Alerta;"Ministerio de Salud de El Salvador, Instituto Nacional de Salud";1;1;10343;"El Salvador";2617-5274;2617-5274;;"Anatomía, Cardiología, Endocrinología y nutriología, Farmacia, Gastroenterología, Salud pública"
25674;Alfa;"Centro de Estudios Transdisciplinarios Bolivia (CET-Bolivia)";1;1;10625;Bolivia;2664-0902;2664-0902;;"Agronomía, Ganadería, Silvicultura, Veterinaria, Edafología, Zootecnia"
26493;"Alfa Publicaciones.";"Ciencia Digital Editorial (Afiliada a la Cámara Ecuatoriana del Libro No. 663)";1;1;10872;Ecuador;2773-7330;;;Multidisciplinarias
22958;"Algarrobo MEL";"Maestría en Estudios Latinoamericanos";1;1;9562;Argentina;2344-9179;2344-9179;;"Ciencia política y administración pública, Ciencias sociales y humanidades, Cultura, Filosofía, Humanidades, Estudios latinoamericanos"
27729;"Alimentos Ciencia e Ingeniería";"Universidad Técnica de Ambato";1;1;11157;Ecuador;2737-6338;1390-2180;;"Biotecnología, Farmacia, Tecnología de alimentos"
710;"Allergologia et immunopathologia";"Codon Publications";1;1;268;España;1578-1267;0301-0546;;"Inmunología, Medicina"
711;Allpanchis;"Universidad Católica San Pablo";1;1;269;Perú;2708-8960;0252-8835;0252-8835;"Ciencias sociales y humanidades"
716;Almanack;"Universidade Federal de São Paulo (Unifesp)";1;1;272;Brasil;2236-4633;2236-4633;;Historia
723;Alpha;"Universidad de Los Lagos, Departamento de Humanidades y Artes";1;1;274;Chile;0718-2201;0716-4254;0716-4254;"Arte, Filosofía, Literatura, Humanidades"
29519;"Alpha International Journal.";"Editorial Sphaera";1;1;11692;Ecuador;3091-1761;;;Multidisciplinarias
27245;Alquipir;"Ayuntamiento de Cehegín";1;1;11075;España;2792-4416;1698-0557;1698-0557;"Antropología, Arqueología, Historia, Estudios locales, Humanidades"
732;Alteridad;"Universidad Politécnica Salesiana";1;1;279;Ecuador;1390-8642;1390-8642;1390-325X;"Educación, Filosofía, Humanidades"
734;Alteridades;"Universidad Autónoma Metropolitana, Unidad Iztapalapa, División de Ciencias Sociales y Humanidades, Departamento de Antropología";1;1;280;México;2448-850X;0188-7017;0188-7017;Antropología
26415;Alternancia;"Universidad José Carlos Mariátegui";1;1;11704;Perú;2710-0936;2710-0936;;Educación
735;"Alternativa Financiera";"Universidad de San Martín de Porres. Facultad de Ciencias Contables, Económicas y Financieras";1;1;11252;Perú;2707-7403;1819-5059;1819-5059;Contabilidad
738;"Alternativas en psicología";"Asociación Mexicana de Alternativas en Psicología A.C.";1;1;282;México;2007-5251;1405-339X;1405-339X;Psicología
736;"Alternativas. Cuadernos de Trabajo Social";"Universidad de Alicante";1;1;281;España;1989-9971;1133-0473;1133-0473;"Ciencias sociales y humanidades, Multidisciplinarias, Sociología, Trabajo social"
27993;Alternautas;"University of Warwick Press";1;1;11225;Iberoamericanistas-Europa;2057-4924;2057-4924;;"Antropología, Ciencia política y administración pública, Filosofía, Sociología, Desarrollo económico, Planificación del desarrollo"
23921;"Altre Modernità. Rivista di studi letterari e culturali";"Università degli Studi di Milano";1;1;10057;Iberoamericanistas-Europa;2035-7680;2035-7680;;"Arte, Cultura, Derecho y jurisprudencia, Economía, Literatura, Religión, Sociología, Tecnología, Humanidades"
27075;"Amadeus International Multidisciplinary Journal";"Instituto Persona de Educação Superior";1;1;10985;Brasil;2525-8281;2525-8281;;"Administración, Ciencias sociales y humanidades, Educación, Estudios sociales de la salud"
752;"Amaltea. Revista de mitocritica";"Universidad Complutense de Madrid";1;1;287;España;1989-1709;;;Literatura
21985;Amazônia;"Universidade Federal do Pará (UFPA)";1;1;8976;Brasil;2317-5125;1980-5128;;"Biología, Educación, Física, Matemáticas, Química"
26411;"Ambiente, comportamiento y sociedad";"Universidad Nacional San Antonio Abad del Cusco";1;1;10859;Perú;2709-829X;2709-829X;;"Medio ambiente"
27277;Ambientes;"Universidade Estadual do Oeste do Paraná (UNIOESTE)";1;1;11034;Brasil;2674-6816;2674-6816;;"Geografía, Humanidades"
24111;Ambigua;"Universidad Pablo de Olavide";1;1;11752;España;2386-8708;2386-8708;;"Sociología, Estudios de género"
788;"Ámbitos. Revista Internacional de Comunicación";"Universidad de Sevilla, Grupo de Investigación en Estructura, Historia y Contenidos de la Comunicación.";1;1;299;España;1988-5733;1139-1979;1139-1979;"Ciencias de la comunicación, Sociología"
22667;América;"Presses de la Sorbonne Nouvelle";1;1;9362;Iberoamericanistas-Europa;2427-9048;0982-9237;0982-9237;"Arte, Cultura, Historia, Literatura, Estudios latinoamericanos"
24537;"América Crítica";"Università degli Studi di Cagliari";1;1;10245;Iberoamericanistas-Europa;2532-6724;;;"Antropología, Ciencias sociales y humanidades, Historia, Humanidades, Estudios latinoamericanos"
799;"América Latina en la historia económica";"Instituto de Investigaciones Dr. José María Luis Mora";1;1;301;México;2007-3496;1405-2253;1405-2253;"Economía, Historia"
22330;"América Latina hoy";"Ediciones Universidad de Salamanca";1;1;9206;España;2340-4396;1130-2887;1130-2887;"Ciencia política y administración pública, Estudios latinoamericanos"
