folio_u;tit_propio;nombre_edi;es_enlinea;catalogada;id_catalogo;nombre_largo;issn_e;issn_l;issn_imp;subtemas
10413;"Memorias del Instituto de Investigaciones en Ciencias de la Salud";"Memorias del Instituto de Investigaciones en Ciencias de la Salud";1;1;3590;Paraguay;1812-9528;1817-4620;1817-4620;"Endocrinología y nutriología, Epidemiología, Genética, Medicina, Microbiología, Salud pública"
22990;"Memorias, escritos y trabajos desde América Latina";"Papel Cosido";1;1;9583;Argentina;2451-6643;2451-6384;;"Arte, Educación"
10429;Mendive;"Universidad de Pinar del Río “Hermanos Saíz Montes de Oca”, Centro de Estudios de Ciencias de la Educación";1;1;3593;Cuba;1815-7696;1815-7696;;"Educación, Pedagogía, Educación media o secundaria, Educación preescolar, Educación primaria, Educación superior"
27676;"MENTOR Revista de Investigación Educativa y Deportiva";"Colegio de Profesionales de Recreación, Actividad Física y Deporte";1;1;11524;Ecuador;2806-5867;2806-5867;;"Deportes, Educación"
10448;"Mercados y negocios";"Universidad de Guadalajara, Centro Universitario de Ciencias Económico Administrativas, Departamento de Mercadotecnia y Negocios Internacionales";1;1;3600;México;2594-0163;1665-7039;1665-7039;"Economía internacional"
26455;Mérito;"Universidad José Carlos Mariátegui";1;1;11705;Perú;2708-7794;2708-7794;;Educación
10465;"Meta : Avaliação";"Fundação Cesgranrio";1;1;3605;Brasil;2175-2753;2175-2753;;"Educación, Tecnología educativa, Educación media o secundaria, Educación primaria, Educación superior, Estudios sociales de la salud"
21012;"Metafísica y persona";"Universidad de Málaga; Universidad Popular Autónoma de Puebla";1;1;8425;España;1989-4996;1989-4996;;Filosofía
26526;Metáfora;"Asociación Peruana de Retórica";1;1;10877;Perú;2617-4839;2617-4839;;Literatura
10475;"Metas de enfermería";"Difusión Avances de Enfermería (DAE)";1;1;3609;España;2660-986X;1138-7262;1138-7262;Enfermería
20048;Metatheoria;"Universidad Nacional de Tres de Febrero";1;1;7781;Argentina;1853-2330;1853-2330;;"Filosofía, Historia de la ciencia"
20859;"Methaodos. revista de ciencias sociales";"Grupo de nvestigación methaodos.org; Universidad Rey Juan Carlos";1;1;8332;España;2340-8413;2340-8413;;"Ciencias de la comunicación, Sociología"
22295;"Mètode. Annual review";"Universitat de València";1;1;9184;España;2174-9221;2174-3487;2174-3487;Multidisciplinarias
23481;Métodhos;"Comisión de Derechos Humanos de la Ciudad de México";1;1;9838;México;2007-2740;2007-2740;;"Ciencias sociales y humanidades"
22789;"Métodos & Materiales";"Universidad de Costa Rica";1;1;9448;"Costa Rica";2215-4558;2215-342X;2215-342X;"Ingeniería de materiales"
10489;"Métodos de información";"Col.legi Oficial de Bibliotecaris i Documentalistes de la Comunitat Valenciana";1;1;3619;España;2173-1241;1134-2838;1134-2838;"Bibliotecología, Multidisciplinarias"
29070;"Metro Ciencia";"Hospital Metropoliano";1;1;11575;Ecuador;2737-6303;1390-2989;;Medicina
23380;"Mexican journal of biotechnology";"Universidad Autónoma de Tlaxcala";1;1;9786;México;2448-6590;2448-6590;;Biotecnología
24819;"Mexican journal of medical research ICSA";"Universidad Autónoma del Estado de Hidalgo";1;1;10333;México;2007-5235;2007-5235;;"Farmacia, Genética, Odontología, Pedagogía, Psicología"
10497;"Mexican law review";"Universidad Nacional Autónoma de México, Instituto de Investigaciones Jurídicas";1;1;3622;México;2448-5306;1870-0578;1870-0578;"Derecho y jurisprudencia"
21578;"Mexican studies";"UC Press";1;1;8684;"Iberoamericanistas-América del Norte";1533-8320;0742-9797;0742-9797;"Historia, Estudios locales"
10503;"México y la Cuenca del Pacífico";"Universidad de Guadalajara, Centro Universitario de Ciencias Sociales y Humanidades, Departamento de Estudios del Pacífico";1;1;3623;México;2007-5308;1665-0174;1665-0174;"Ciencia política y administración pública, Relaciones internacionales, Economía internacional"
20860;"Mextesol Journal";"Asociación Mexicana de Maestros de Inglés, MEXTESOL A.C.";1;1;8333;México;2395-9908;1405-3470;;"Educación, Lingüística"
10509;"MHSalud: Revista en Ciencias del Movimiento Humano y Salud";"Universidad Nacional, Escuela de Ciencias del Movimiento Humano y Calidad de Vida";1;1;3625;"Costa Rica";1659-097X;1659-097X;;Deportes
22420;Micaela;"Universidad Nacional Micaela Bastidas de Apurímac";1;1;11976;Perú;2955-8646;2709-8990;;Multidisciplinarias
24208;Microtextualidades;"Universidad CEU San Pablo de Madrid";1;1;10168;España;2530-8297;2530-8297;;"Arte, Cultura, Literatura, Humanidades, Filología"
23766;"Middle Atlantic review of Latin American studies";"Ubiquity Press";1;1;9984;"Iberoamericanistas-América del Norte";2474-9621;2474-9621;;"Estudios latinoamericanos"
21855;Mídia.e.Cotidiano;"Universidade Federal Fluminense (UFF)";1;1;8887;Brasil;2178-602X;2178-602X;;"Ciencias de la comunicación"
10524;"Migración y desarrollo";"Red Internacional de Migración y Desarrollo";1;1;3628;México;2448-7783;1870-7599;1870-7599;"Demografía, Relaciones internacionales, Sociología, Economía internacional"
23443;Migraciones;"Universidad Pontificia Comillas";1;1;9814;España;2341-0833;1138-5774;;"Demografía, Sociología"
10526;"Migraciones internacionales";"El Colegio de la Frontera Norte";1;1;3630;México;2594-0279;2594-0279;1665-8906;"Demografía, Relaciones internacionales"
10530;"Miguel Hernández communication journal";"Universidad Miguel Hernández";1;1;3632;España;1989-8681;1989-8681;;"Ciencias de la comunicación"
23402;"Mikarimin: Revista Científica Multidisciplinaria";"Universidad Regional Autónoma de los Andes-Extensión de Santo Domingo";1;1;9796;Ecuador;2528-7842;;;"Administración, Ciencia política y administración pública, Computación, Derecho y jurisprudencia, Economía, Educación, Salud pública, Ciencia y Tecnología"
25102;"Milenaria, ciencia y arte";"Universidad Michoacana de San Nicolás de Hidalgo, Escuela de Enfermería y Salud Pública";1;1;11507;México;2954-4289;2954-4289;2395-9436;Multidisciplinarias
10533;"Milenio: Revista de artes y ciencias";"Universidad de Puerto Rico, Recinto de Bayamón, Departamento de Humanidades";1;1;3633;"Puerto Rico";2641-0389;1532-8562;;"Arte, Literatura, Ciencia y Tecnología"
20826;Millcayac;"Universidad Nacional de Cuyo. Facultad de Ciencias Políticas y Sociales. Centro de Publicaciones";1;1;8314;Argentina;2362-616X;1668-060X;1668-060X;"Ciencia política y administración pública, Ciencias sociales y humanidades"
10538;"Millenium - Journal of Education, Technologies, and Health";"Instituto Politécnico de Viseu (IPV)";1;1;3635;Portugal;1647-662X;;;Multidisciplinarias
26857;"Mineralogistes de Catalunya";"Grup Mineralògic Català";1;1;10945;España;2696-4465;1132-7022;1132-7022;"Geología, Ciencias de la tierra, Recursos naturales no renovables, Ciencias naturales"
22964;Minerva;"Instituto Universitario de la Policía Federal Argentina";1;1;11894;Argentina;2545-6245;2545-6245;;"Derecho y jurisprudencia, Defensa y seguridad, Criminología"
10550;Minerva;"Universidad de Valladolid, Secretaría de Publicaciones";1;1;3638;España;2530-6480;0213-9634;0213-9634;Filología
24164;Mirai;"Ediciones Complutense";1;1;10154;España;2531-145X;2531-145X;;Humanidades
10563;Miríada;"Universidad del Salvador. Instituto de Investigaciones en Ciencias Sociales";1;1;3642;Argentina;2250-4621;1851-9431;1851-9431;"Ciencia política y administración pública, Ciencias sociales y humanidades, Historia, Relaciones internacionales, Sociología, Trabajo social"
10575;"Miscelánea Comillas";"Universidad Pontificia Comillas";1;1;3648;España;2341-085X;0210-9522;0210-9522;"Historia, Multidisciplinarias, Religión"
10582;"Miscelánea. A Journal of English and American Studies";"Universidad de Zaragoza, Departamento de Filología Inglesa y Alemana";1;1;3653;España;2386-4834;1137-6368;1137-6368;"Cine, Cultura, Lingüística, Literatura"
