coleccion,titulo,idioma_principal,idiomas_pub,issn
cub,Fitosanidad,es,es; en,15623009
cub,Revista Cubana de Obstetricia y Ginecología,es,es; en,15613062
cub,Revista Cubana de Obstetricia y Ginecología,es,es; en,0138600X
cub,Revista Cubana de Endocrinología,es,es; en,15612953
cub,Revista Cubana de Cirugía,es,es; en,15612945
cub,Revista Cubana de Cirugía,es,es; en,00347493
cub,Revista Cubana de Medicina,es,en,00347523
cub,Revista Cubana de Medicina,es,en,1561302X
cub,Revista Cubana de Anestesiología y Reanimación,es,es; en,17266718
cub,Revista Médica Electrónica,es,es; en,16841824
cub,Medicentro Electrónica,af,es; en,10293043
cub,Revista Cubana de Angiología y Cirugía Vascular,es,es; en,16820037
cub,"Revista Cubana de Hematología, Inmunología y Hemoterapia",es,es; en,15612996
cub,"Revista Cubana de Hematología, Inmunología y Hemoterapia",es,es; en,08640289
cub,Revista Cubana de Medicina Tropical,es,es; en,15613054
cub,Revista Cubana de Medicina Tropical,es,es; en,03750760
cub,Revista Cubana de Oftalmología,es,es; en,08642176
cub,Revista Cubana de Oftalmología,es,es; en,15613070
cub,Revista Cubana de Salud Pública,es,es; en,15613127
cub,Revista Cubana de Salud Pública,es,es; en,08643466
cub,Revista Habanera de Ciencias Médicas,es,es; en,1729519X
cub,Acta Médica del Centro,es,es; en,27097927
cub,EduSol,es,es; en,17298091
cub,MediSur,es,es,1727897X
cub,Anales de la Academia de Ciencias de Cuba,es,es; en,23040106
cub,Cuban Journal of Agricultural Science,es,es; en,20793480
cub,Cuban Journal of Agricultural Science,es,es; en,08640408
cub,Revista de Ciencias Médicas de Pinar del Río,es,es; en,15613194
cub,Retos de la Dirección,es,es; en,23069155
cub,Centro Azúcar,es,es; en,22234861
cub,Centro Azúcar,es,es; en,02535777
cub,Humanidades Médicas,es,es; en,17278120
cub,Alcance,es,es; en; pt,24119970
cub,Revista Ciencias Técnicas Agropecuarias,es,es,20710054
cub,Revista de Producción Animal,es,es,22247920
cub,Ingeniería Mecánica,es,es; en,18155944
cub,Revista Cubana de Química,es,es; en,22245421
cub,Revista Cubana de Salud y Trabajo,es,es; en,16086384
cub,Revista Cubana de Salud y Trabajo,es,es; en,19919395
cub,Serie Científica de la Universidad de las Ciencias Informáticas,es,es; en,23062495
cub,Revista Finlay,es,es; en,22212434
cub,MEDISAN,es,es; en,10293019
cub,Revista Cubana de Ciencias Informáticas,es,es; en,22271899
cub,Revista Cubana de Ciencias Informáticas,es,es; en,19941536
cub,Revista Cubana de Meteorología,es,es; en,0864151X
cub,Revista Cubana de Meteorología,es,es; en,26640880
cub,Tecnología Química,es,es; en,22246185
cub,Revista Novedades en Población,es,es; en,18174078
cub,Horizonte Pedagógico,es,es; en,23103647
cub,Maestro y Sociedad,es,es; en,18154867
cub,Cultivos Tropicales,es,es; en,18194087
cub,Cultivos Tropicales,es,es; en,02585936
cub,Santiago,es,es; fr; en; pt,22276513
cub,Luz,es,es; en,1814151X
cub,Ingeniería Industrial,es,es; en,18155936
cub,Universidad de La Habana,es,es; en,02539276
cub,Revista Archivo Médico de Camagüey,es,es; en,10250255
cub,Acción,es,es; en,18125808
cub,Infodir,es,es; en,19963521
cub,Ingeniería Hidráulica y Ambiental,es,es; en,16800338
cub,Ingeniería Hidráulica y Ambiental,es,es; en,27886050
cub,"Ingeniería Electrónica, Automática y Comunicaciones",es,es; en,18155928
cub,Revista Cubana de Reumatología,es,es; en,18175996
cub,Transformación,es,es; en,20772955
cub,Ciencia y Deporte,es,es; en,22231773
cub,Acta Médica,es,es; en,15613186
cub,Revista Cubana de Informática Médica,es,es; en,16841859
cub,Ingeniería Energética,es,es; en,18155901
cub,Medimay,es,es; en,25209078
cub,Revista Ciencia y Construcción,es,es; en,27897605
cub,Revista Científica de Arquitectura y Urbanismo,es,es; en,18155898
cub,Mendive. Revista de Educación,es,es; en,18157696
cub,Revista Cubana de Educación Superior,es,es,02574314
cub,Revista Cubana de Ciencias Forestales,es,es; en,23103469
esp,Archivos Españoles de Urología (Ed. impresa),en,,00040614
esp,Revista de Diagnóstico Biológico,es,,00347973
esp,Medicina Intensiva,es,,02105691
esp,Oncología (Barcelona),en,,03784835
esp,Actas Urológicas Españolas,es,,02104806
esp,Anales de Medicina Interna,es,,02127199
esp,Archivos de la Sociedad Española de Oftalmología,en,,03656691
esp,Medifam,es,,11315768
esp,RCOE,es,,1138123X
esp,International Microbiology,en,,11396709
esp,The European journal of psychiatry (edición en español),es,,1579699X
esp,Neurocirugía,en,,11301473
esp,Revista de la Sociedad Española de Enfermería Nefrológica,es,,11391375
esp,Educación Médica,en,,15751813
esp,"Medicina Oral, Patología Oral y Cirugía Bucal (Internet)",en,,16986946
esp,"Medicina Oral, Patología Oral y Cirugía Bucal (Ed. impresa)",en,,16984447
esp,The European Journal of Psychiatry,en,,02136163
esp,Pediatría Atención Primaria,en,,11397632
esp,Enfermería Global,en,,16956141
esp,Acción Psicológica,en,,22551271
esp,Acción Psicológica,en,,1578908X
esp,Sanidad Militar,en,,18878571
esp,FEM: Revista de la Fundación Educación Médica,en,,20149832
esp,FEM: Revista de la Fundación Educación Médica,en,,20149840
esp,Ars Pharmaceutica (Internet),en,,23409894
esp,Archivos de Zootecnia,en,,18854494
esp,Archivos de Zootecnia,en,,00040592
esp,Avances en Periodoncia e Implantología Oral,es,,16996585
esp,Avances en Periodoncia e Implantología Oral,es,,23403209
esp,Revista Española de Nutrición Humana y Dietética,en,,21745145
esp,Revista Española de Nutrición Humana y Dietética,en,,21731292
esp,Revista de Psicología del Trabajo y de las Organizaciones,en,,21740534
esp,Revista de Psicología del Trabajo y de las Organizaciones,en,,15765962
esp,The European Journal of Psychology Applied to Legal Context,en,,18891861
esp,The European Journal of Psychology Applied to Legal Context,en,,19894007
esp,Revista Española de Cirugía Oral y Maxilofacial,en,,21739161
esp,Revista Española de Cirugía Oral y Maxilofacial,en,,11300558
esp,Avances en Odontoestomatología,en,,23403152
esp,Avances en Odontoestomatología,en,,02131285
esp,Cuadernos de Psicología del Deporte,en,,15788423
esp,Cuadernos de Psicología del Deporte,en,,19895879
esp,Archivos de Prevención de Riesgos Laborales,en,,15782549
esp,Revista de la OFIL,es,,1699714X
esp,Revista de la OFIL,es,,11319429
esp,Revista de Medicina y Cine,en,,18855210
esp,Anales de Psicología,en,,16952294
esp,Anales de Psicología,en,,02129728
esp,Nutrición Hospitalaria,en,,02121611
esp,Nutrición Hospitalaria,en,,16995198
esp,Revista Española de Sanidad Penitenciaria,en,,20136463
esp,Revista Española de Sanidad Penitenciaria,en,,15750620
esp,Angiología,en,,16952987
esp,Angiología,en,,00033170
esp,Enfermería Nefrológica,es,,22553517
esp,Enfermería Nefrológica,es,,22542884
esp,Papeles del Psicólogo,en,,02147823
esp,Papeles del Psicólogo,en,,18861415
esp,Gerokomos,es,,1134928X
esp,Revista Clínica de Medicina de Familia,es,,1699695X
esp,Revista Clínica de Medicina de Familia,es,,23868201
esp,Escritos de Psicología (Internet),en,,11382635
esp,Escritos de Psicología (Internet),en,,19893809
esp,Nefrología (Madrid),es,,19892284
esp,Nefrología (Madrid),es,,02116995
esp,Dynamis,en,,23407948
esp,Dynamis,en,,02119536
esp,Cuadernos de Medicina Forense,es,,11357606
esp,Cuadernos de Medicina Forense,es,,1988611X
esp,Revista Española de Enfermedades Digestivas,en,,11300108
esp,Revista Andaluza de Medicina del Deporte,en,,18887546
esp,Revista Andaluza de Medicina del Deporte,en,,21725063
esp,Medicina y Seguridad del Trabajo,en,,19897790
esp,Medicina y Seguridad del Trabajo,en,,0465546X
esp,Temperamentvm,en,,16996011
esp,Revista ORL,en,,24447986
esp,Revista de Bioética y Derecho,en,,18865887
esp,Revista Española de Salud Pública,en,,11355727
esp,Revista Española de Salud Pública,en,,21739110
esp,Anales del Sistema Sanitario de Navarra,es,,11376627
esp,Ene,en,,1988348X
esp,Revista de Osteoporosis y Metabolismo Mineral,en,,1889836X
esp,Revista de Osteoporosis y Metabolismo Mineral,en,,21732345
esp,Revista de la Asociación Española de Neuropsiquiatría,es,,23402733
esp,Revista de la Asociación Española de Neuropsiquiatría,es,,02115735
esp,Farmacia Hospitalaria,en,,11306343
esp,Farmacia Hospitalaria,en,,21718695
esp,Pharmacy Practice (Granada),en,,1885642X
esp,Pharmacy Practice (Granada),en,,18863655
esp,Hospital a Domicilio,en,,25305115
esp,Siglo Cero,en,,02101696
esp,Siglo Cero,en,,25300350
esp,Iberoamerican Journal of Medicine,en,,26955075
esp,Psicothema,en,,1886144X
esp,Psicothema,en,,02149915
esp,Index de Enfermería,en,,16995988
esp,Index de Enfermería,en,,11321296
esp,REC: Interventional Cardiology,en,,26047276
esp,REC: Interventional Cardiology,en,,26047306
esp,Revista de la Asociación Española de Especialistas en Medicina del Trabajo,en,,11326255
esp,Revista de la Asociación Española de Especialistas en Medicina del Trabajo,en,,30201160
esp,Comunidad,en,,23397896
esp,Clínica y Salud,en,,21740550
esp,Clínica y Salud,en,,11305274
esp,Psychosocial Intervention,en,,11320559
esp,Psychosocial Intervention,en,,21734712
esp,Journal of Negative and No Positive Results,es,,2529850X
esp,Revista de la Sociedad Española del Dolor,en,,11348046
esp,Pharmaceutical Care España,en,,27941140
esp,Pharmaceutical Care España,en,,11396202
esp,Gaceta Sanitaria,es,,02139111
esp,Cirugía Plástica Ibero-Latinoamericana,en,,03767892
esp,Cirugía Plástica Ibero-Latinoamericana,en,,19892055
mex,Ciencia forestal en México,en,,14053586
mex,Agricultura técnica en México,es,,05682517
mex,Tzintzun,en,,01882872
mex,Universidad y ciencia,en,,01862979
mex,Revista mexicana de análisis de la conducta,en,,01854534
mex,Revista latinoamericana de química,en,,03705943
mex,México y la cuenca del pacífico,en,,20075308
mex,Secuencia,en,,23958464
mex,Secuencia,en,,01860348
mex,Comunicación y sociedad,en,,0188252X
mex,"Ingeniería mecánica, tecnología y desarrollo",en,,16657381
mex,Polibotánica,en,,14052768
mex,Revista fitotecnia mexicana,en,,01877380
mex,Revista mexicana de ciencias forestales,en,,20071132
mex,Revista mexicana de orientación educativa,en,,16657527
mex,Espiral (Guadalajara),en,,16650565
mex,Convergencia,en,,14051435
mex,Convergencia,en,,24485799
mex,Polibits,en,,18709044
mex,Revista mexicana de micología,en,,01873180
mex,América Latina en la historia económica,en,,20073496
mex,América Latina en la historia económica,en,,14052253
mex,Acta pediátrica de México,en,,01862391
mex,Acta pediátrica de México,en,,23958235
mex,CPU-e. Revista de Investigación Educativa,en,,18705308
mex,Trayectorias. Revista de ciencias sociales de la Universidad Autónoma de Nuevo León,en,,20071205
mex,Intervención (México DF),en,,2007249X
mex,Vectores de investigación,en,,18700128
mex,Vectores de investigación,en,,22553371
mex,Tecnología y ciencias del agua,en,,20072422
mex,"Apertura (Guadalajara, Jal.)",en,,16656180
mex,"Apertura (Guadalajara, Jal.)",en,,20071094
mex,Abanico veterinario,en,,2007428X
mex,Abanico veterinario,en,,24486132
mex,Anestesia en México,en,,14050056
mex,Anestesia en México,en,,24488771
mex,El trimestre económico,en,,2448718X
mex,El trimestre económico,en,,00413011
mex,PAAKAT: revista de tecnología y sociedad,en,,20073607
mex,Derecho global. Estudios sobre derecho y justicia,en,,24485136
mex,Derecho global. Estudios sobre derecho y justicia,en,,24485128
mex,Revista mexicana de fitopatología,en,,20078080
mex,Revista mexicana de fitopatología,en,,01853309
mex,Boletín médico del Hospital Infantil de México,en,,16651146
mex,Tópicos del Seminario,en,,16651200
mex,Tópicos del Seminario,en,,25940619
mex,Tzintzun. Revista de estudios históricos,en,,2007963X
mex,Tzintzun. Revista de estudios históricos,en,,1870719X
mex,El periplo sustentable,en,,18709036
mex,Psicumex,en,,20075936
mex,Revista biomédica,en,,0188493X
mex,Revista biomédica,en,,20078447
mex,"Journal of behavior, health & social issues (México)",en,,20070780
mex,Connotas. Revista de crítica y teoría literarias,en,,18706630
mex,Connotas. Revista de crítica y teoría literarias,en,,24486019
mex,Archivos de cardiología de México,en,,14059940
mex,Archivos de cardiología de México,en,,16651731
mex,Sinéctica,en,,20077033
mex,Sinéctica,en,,1665109X
mex,Revista de historia de América,en,,2663371X
mex,Revista electrónica de investigación educativa,en,,16074041
mex,Biolex,en,,20075634
mex,Biolex,en,,20075545
mex,Gaceta mexicana de oncología,en,,2565005X
mex,Gaceta mexicana de oncología,en,,16659201
mex,Revista mexicana de neurociencia,en,,16655044
mex,Revista mexicana de neurociencia,en,,26046180
mex,Investigación económica,en,,01851667
mex,Análisis económico,en,,01853937
mex,Análisis económico,en,,24486655
mex,Revista de la Facultad de Medicina (México),en,,24484865
mex,Revista de la Facultad de Medicina (México),en,,00261742
mex,Estudios de cultura maya,en,,01852574
mex,Entreciencias: diálogos en la sociedad del conocimiento,en,,20078064
mex,Inter disciplina,en,,2395969X
mex,Inter disciplina,en,,24485705
mex,Anuario mexicano de derecho internacional,en,,18704654
mex,Revista mexicana de pediatría,en,,00350052
mex,Enfermería universitaria,en,,23958421
mex,Enfermería universitaria,en,,16657063
mex,TIP. Revista especializada en ciencias químico-biológicas,en,,1405888X
mex,Educación química,en,,0187893X
mex,Revista mexicana de trastornos alimentarios,en,,20071523
mex,Revista odontológica mexicana,en,,1870199X
mex,Revista mexicana de opinión pública,en,,18707300
mex,Revista mexicana de opinión pública,en,,24484911
mex,Investigación en educación médica,en,,20075057
mex,Acta poética,en,,01853082
mex,Acta poética,en,,2448735X
mex,Problemas del desarrollo,en,,03017036
mex,Nova tellus,en,,01853058
mex,Literatura mexicana,en,,24488216
mex,Literatura mexicana,en,,01882546
mex,Mexican law review,en,,18700578
mex,Mexican law review,en,,24485306
mex,Revista latinoamericana de derecho social,es,,18704670
mex,Revista latinoamericana de derecho social,es,,24487899
mex,Mundo nano. Revista interdisciplinaria en nanociencias y nanotecnología,en,,20075979
mex,Mundo nano. Revista interdisciplinaria en nanociencias y nanotecnología,en,,24485691
mex,Revista de investigación clínica,en,,00348376
mex,Revista de investigación clínica,en,,25648896
mex,REB. Revista de educación bioquímica,en,,16651995
mex,Cirujano general,en,,14050099
mex,Revista mexicana de ciencias farmacéuticas,en,,18700195
mex,Revista de la Asociación Mexicana de Medicina Crítica y Terapia Intensiva,en,,01878433
mex,Medicina interna de México,en,,01864866
mex,Acta universitaria,en,,01886266
mex,Acta universitaria,en,,20079621
mex,Nueva revista de filología hispánica,en,,01850121
mex,Nueva revista de filología hispánica,en,,24486558
mex,Historia mexicana,en,,01850172
mex,Historia mexicana,en,,24486531
mex,Economía: teoría y práctica,en,,01883380
mex,Economía: teoría y práctica,en,,24487481
mex,En-claves del pensamiento,en,,1870879X
mex,En-claves del pensamiento,en,,25941100
mex,Valenciana,en,,20072538
mex,Veterinaria México,en,,03015092
mex,Latinoamérica. Revista de estudios Latinoamericanos,es,,24486914
mex,Latinoamérica. Revista de estudios Latinoamericanos,es,,16658574
mex,Revista mexicana de sociología,en,,25940651
mex,Revista mexicana de sociología,en,,01882503
mex,Revista mexicana de astronomía y astrofísica,en,,01851101
mex,"Estudios sociales (Hermosillo, Son.)",en,,01884557
mex,Cuestiones constitucionales,es,,14059193
mex,"Estudios Económicos (México, D.F.)",en,,01867202
mex,"Estudios Económicos (México, D.F.)",en,,01886916
mex,Medicina crítica (Colegio Mexicano de Medicina Crítica),en,,24488909
mex,Revista iberoamericana de educación superior,en,,20072872
mex,Sanus,en,,24486094
mex,Boletín de la Sociedad Botánica de México,en,,03662128
mex,Nueva antropología,en,,01850636
mex,Journal of applied research and technology,en,,24486736
mex,Journal of applied research and technology,en,,16656423
mex,Therya,en,,20073364
mex,Revista mexicana de angiología,en,,03774740
mex,Revista mexicana de angiología,en,,2696130X
mex,IE Revista de investigación educativa de la REDIECH,en,,24488550
mex,Concreto y cemento. Investigación y desarrollo,en,,20073011
mex,Revista de la Sociedad Química de México,en,,05837693
mex,Ingeniería sísmica,en,,0185092X
mex,LiminaR,en,,20078900
mex,LiminaR,en,,16658027
mex,Ensayos. Revista de economía,en,,24488402
mex,Economía mexicana. Nueva época,en,,16652045
mex,Boletín de la Sociedad Geológica Mexicana,es,,14053322
mex,Desacatos,es,,1607050X
mex,Desacatos,es,,24485144
mex,Diánoia,es,,01852450
mex,Agrociencia,en,,25219766
mex,Agrociencia,en,,14053195
mex,Acta de investigación psicológica,en,,20074832
mex,Acta de investigación psicológica,en,,20074719
mex,Salud Pública de México,en,,00363634
mex,Revista médica del Hospital General de México,en,,01851063
mex,Revista médica del Hospital General de México,en,,2524177X
mex,Revista mexicana de ciencias políticas y sociales,en,,01851918
mex,Migraciones internacionales,en,,25940279
mex,Migraciones internacionales,en,,16658906
mex,Educación matemática,en,,16655826
mex,Frontera norte,en,,01877372
mex,Frontera norte,en,,25940260
mex,Iztapalapa. Revista de ciencias sociales y humanidades,en,,01854259
mex,Iztapalapa. Revista de ciencias sociales y humanidades,en,,20079176
mex,Política y gobierno,en,,16652037
mex,Cuicuilco,en,,01851659
mex,Cuicuilco. Revista de ciencias antropológicas,en,,24488488
mex,Cuicuilco. Revista de ciencias antropológicas,en,,24489018
mex,The Anáhuac journal,en,,14058448
mex,The Anáhuac journal,en,,26832690
mex,Huitzil,en,,18707459
mex,Hidrobiológica,en,,01888897
mex,Revista mexicana de ingeniería química,en,,16652738
mex,Revista mexicana de investigación educativa,en,,14056666
mex,Gaceta médica de México,en,,26961288
mex,Gaceta médica de México,en,,00163813
mex,Vértice universitario,en,,26832623
mex,Vértice universitario,en,,20071388
mex,"Dilemas contemporáneos: educación, política y valores",en,,20077890
mex,"Ingeniería, investigación y tecnología",es,,14057743
mex,"Ingeniería, investigación y tecnología",es,,25940732
mex,Biotecnia,en,,16651456
mex,Computación y Sistemas,es,,14055546
mex,Computación y Sistemas,es,,20079737
mex,Veterinaria México OA,en,,24486760
mex,Economía UNAM,en,,1665952X
mex,Cirugía y cirujanos,en,,2444054X
mex,Cirugía y cirujanos,en,,00097411
mex,Acta botánica mexicana,en,,24487589
mex,Acta botánica mexicana,en,,01877151
mex,Norteamérica,en,,24487228
mex,Norteamérica,en,,18703550
mex,Textual: análisis del medio rural latinoamericano,en,,01859439
mex,Textual: análisis del medio rural latinoamericano,en,,23959177
mex,Anuario de letras. Lingüística y filología,en,,24486418
mex,Anuario de letras. Lingüística y filología,en,,24488224
mex,Mercados y negocios,en,,25940163
mex,Mercados y negocios,en,,16657039
mex,Ciencia ergo sum,en,,23958782
mex,Ciencia ergo sum,en,,14050269
mex,Revista mexicana de ciencias agrícolas,en,,20070934
mex,CONfines de relaciones internacionales y ciencia política,en,,18703569
mex,Endoscopia,en,,01889893
mex,Endoscopia,en,,24446483
mex,Educación matemática,en,,01878298
mex,Educación matemática,en,,24488089
mex,Diálogos sobre educación. Temas actuales en investigación educativa,en,,20072171
mex,Revista bio ciencias,en,,20073380
mex,Journal of the Mexican Chemical Society,en,,1870249X
mex,"Política, globalidad y ciudadanía",en,,23958448
mex,Cuadernos de Lingüística de El Colegio de México,en,,2007736X
mex,Perinatología y reproducción humana,es,,01875337
mex,Perinatología y reproducción humana,es,,25241710
mex,International Journal of Combinatorial Optimization Problems and Informatics,en,,20071558
mex,Revista alergia México,en,,24489190
mex,Botanical Sciences,en,,20074476
mex,Botanical Sciences,en,,20074298
mex,Culturales,en,,18701191
mex,Culturales,en,,2448539X
mex,Estudios sociales. Revista de alimentación contemporánea y desarrollo regional,en,,23959169
mex,Revista pueblos y fronteras digital,en,,18704115
mex,Revista interdisciplinaria de estudios de género de El Colegio de México,en,,23959185
mex,Geofísica internacional,en,,00167169
mex,Geofísica internacional,en,,2954436X
mex,Foro internacional,en,,0185013X
mex,Horizonte sanitario,en,,16653262
mex,Horizonte sanitario,en,,20077459
mex,Panorama económico (Ciudad de México),en,,18702171
mex,Cultura y representaciones sociales,en,,20078110
mex,Región y sociedad,es,,18703925
mex,Región y sociedad,es,,24484849
mex,Ginecología y obstetricia de México,en,,03009041
mex,Nóesis. Revista de ciencias sociales,en,,23958669
mex,Nóesis. Revista de ciencias sociales,en,,01889834
mex,Revista mexicana de medicina familiar,en,,20079710
mex,Revista mexicana de medicina familiar,en,,26961296
mex,Interpretatio. Revista de hermenéutica,en,,26831406
mex,Interpretatio. Revista de hermenéutica,en,,2448864X
mex,Revista de ciencias tecnológicas,en,,25941925
mex,Revista latinoamericana de estudios educativos,en,,01851284
mex,Revista latinoamericana de estudios educativos,en,,2448878X
mex,Revista mexicana de cardiología,en,,01882198
mex,Neumología y cirugía de tórax,en,,00283746
mex,Revista del Instituto Nacional de Enfermedades Respiratorias,es,,01877585
mex,Intersticios sociales,en,,20074964
mex,EntreDiversidades. Revista de ciencias sociales y humanidades,en,,20077610
mex,EntreDiversidades. Revista de ciencias sociales y humanidades,en,,20077602
mex,Revista de la educación superior,en,,01852760
mex,Revista de filosofía open insight,en,,20072406
mex,Revista de filosofía open insight,en,,23958936
mex,Revista mexicana de oftalmología,en,,26041227
mex,Revista mexicana de oftalmología,en,,01874519
mex,Epistemus (Sonora),en,,20078196
mex,Epistemus (Sonora),en,,20074530
mex,Revista latinoamericana de herpetología,en,,25942158
mex,Andamios,es,,25941917
mex,Andamios,es,,18700063
mex,Letras históricas,en,,24488372
mex,Letras históricas,en,,20071140
mex,Relaciones. Estudios de historia y sociedad,en,,01853929
mex,Relaciones. Estudios de historia y sociedad,en,,24487554
mex,Investigaciones geográficas,en,,01884611
mex,Investigaciones geográficas,en,,24487279
mex,Investigación administrativa,en,,24487678
mex,Investigación administrativa,en,,18706614
mex,Perfiles latinoamericanos,es,,01887653
mex,Estudios fronterizos,en,,01876961
mex,Estudios fronterizos,en,,23959134
mex,Bibliographica,en,,2594178X
mex,Bibliographica,en,,26832232
mex,Gestión y política pública,en,,14051079
mex,Carta económica regional,en,,01877674
mex,Carta económica regional,en,,26832852
mex,Revista latinoamericana de investigación en matemática educativa,en,,16652436
mex,Revista latinoamericana de investigación en matemática educativa,en,,20076819
mex,Debates por la historia,en,,25942956
mex,Estudios en derecho a la información,en,,25940082
mex,Estudios en derecho a la información,en,,26832038
mex,Ecosistemas y recursos agropecuarios,en,,20079028
mex,Ecosistemas y recursos agropecuarios,en,,2007901X
mex,Programación matemática y software,en,,20073283
mex,Península,en,,18705766
mex,Estudios demográficos y urbanos,en,,24486515
mex,Estudios demográficos y urbanos,en,,01867210
mex,"Emerging trends in education (México, Villahermosa)",en,,25942840
mex,Revista mexicana de economía y finanzas,en,,24486795
mex,Revista mexicana de economía y finanzas,en,,16655346
mex,Salud mental,en,,01853325
mex,Terra Latinoamericana,en,,01875779
mex,Terra Latinoamericana,en,,23958030
mex,Encartes,en,,25942999
mex,Medicina y ética,en,,01885022
mex,Medicina y ética,en,,25942166
mex,"Trascender, contabilidad y gestión",en,,24486388
mex,Cardiovascular and metabolic science,en,,26832828
mex,Cardiovascular and metabolic science,en,,29543835
mex,Boletín mexicano de derecho comparado,en,,00418633
mex,Boletín mexicano de derecho comparado,en,,24484873
mex,Alteridades,en,,01887017
mex,Alteridades,en,,2448850X
mex,Ciencias marinas,en,,01853880
mex,Acta zoológica mexicana,en,,00651737
mex,Acta zoológica mexicana,en,,24488445
mex,Anales de antropología,en,,24486221
mex,Anales de antropología,en,,01851225
mex,La ventana. Revista de estudios de género,en,,14059436
mex,Isonomía,en,,14050218
mex,Contaduría y administración,en,,01861042
mex,Estudios de historia moderna y contemporánea de México,en,,01852620
mex,Estudios de historia novohispana,en,,24486922
mex,Estudios de historia novohispana,en,,01852523
mex,Historia y grafía,en,,14050927
mex,"Crítica (México, D.F.)",en,,00111503
mex,Estudios de Asia y África,en,,01850164
mex,Estudios de Asia y África,en,,2448654X
mex,EconoQuantum,en,,18706622
mex,EconoQuantum,en,,20079869
mex,CienciaUAT,en,,20077521
mex,CienciaUAT,en,,20077858
mex,Tópicos (México),en,,01886649
mex,Revista mexicana de física,en,,0035001X
mex,Revista mexicana de ingeniería biomédica,en,,23959126
mex,Revista mexicana de ingeniería biomédica,en,,01889532
mex,Revista de sanidad militar,en,,0301696X
mex,Revista mexicana de anestesiología,en,,04847903
mex,Revista de economía,en,,23958715
mex,Zincografía,en,,24488437
mex,Revista panamericana de comunicación,en,,26832208
mex,Signos filosóficos,en,,16651324
mex,Annals of Hepatology,en,,16652681
mex,Estudios políticos (México),en,,01851616
mex,Revista de El Colegio de San Luis,en,,20078846
mex,Revista de El Colegio de San Luis,en,,1665899X
mex,Signos históricos,en,,16654420
mex,"Innovación educativa (México, DF)",en,,16652673
mex,Revista mexicana de ciencias geológicas,en,,20072902
mex,Revista mexicana de ciencias geológicas,en,,10268774
mex,Ola financiera,es,,18701442
mex,Polis,en,,25940686
mex,Polis,en,,18702333
mex,Tla-melaua,en,,25940716
mex,Tla-melaua,en,,18706916
mex,Tropical and subtropical agroecosystems,en,,18700462
mex,Revista mexicana de física E,en,,18703542
mex,Nova scientia,en,,20070705
mex,Scientia fungorum,en,,25941321
mex,Sociedad y ambiente,en,,20076576
mex,Revista mexicana de urología,en,,01854542
mex,Revista mexicana de urología,en,,20074085
mex,Migración y desarrollo,en,,18707599
mex,Revista ALCONPAT,en,,20076835
mex,"Economía, sociedad y territorio",en,,14058421
mex,"Economía, sociedad y territorio",en,,24486183
mex,Investigación bibliotecológica,en,,24488321
mex,Investigación bibliotecológica,en,,0187358X
mex,Estudios sociológicos,en,,01854186
mex,Estudios sociológicos,en,,24486442
mex,Punto CUNORTE,en,,24486426
mex,Punto CUNORTE,en,,25941852
mex,Sintaxis,en,,25941682
mex,Revista mexicana de biodiversidad,en,,18703453
mex,Revista mexicana de biodiversidad,en,,20078706
mex,Atmósfera,en,,01876236
mex,Revista internacional de contaminación ambiental,en,,01884999
mex,"Archivos de neurociencias (México, D.F.)",es,,10285938
mex,"Archivos de neurociencias (México, D.F.)",es,,01874705
mex,Revista IUS,en,,18702147
mex,Acta médica Grupo Ángeles,en,,18707203
mex,Superficies y vacío,en,,16653521
mex,Acta ortopédica mexicana,en,,23064102
mex,Archivos de neurociencias (México),en,,29544122
mex,Madera y bosques,en,,14050471
mex,Madera y bosques,en,,24487597
mex,"Agricultura, sociedad y desarrollo",en,,18705472
mex,RIDE. Revista Iberoamericana para la Investigación y el Desarrollo Educativo,en,,20077467
mex,Papeles de población,en,,24487147
mex,Papeles de población,en,,14057425
mex,Revista de filosofía Universidad Iberoamericana,en,,01853481
mex,Revista de filosofía Universidad Iberoamericana,en,,29544602
mex,Ciencias administrativas teoría y praxis,en,,26831457
mex,Ciencias administrativas teoría y praxis,en,,26831465
mex,Academia XXII,en,,2007252X
mex,Academia XXII,en,,2594083X
mex,RIIIT. Revista internacional de investigación e innovación tecnológica,en,,20079753
mex,Revista cartográfica,en,,00802085
mex,Revista cartográfica,en,,26633981
mex,Estudios de cultura náhuatl,en,,30618002
mex,Estudios de cultura náhuatl,en,,00711675
mex,"Trace (México, DF)",en,,20072392
mex,"Trace (México, DF)",en,,01856286
mex,Debate feminista,en,,01889478
mex,Debate feminista,en,,2594066X
mex,Perfiles educativos,es,,01852698
mex,"Argumentos (México, D.F.)",es,,01875795
mex,Revista mexicana de ciencias pecuarias,en,,24486698
mex,Revista mexicana de ciencias pecuarias,en,,20071124
mex,Revista Chapingo. Serie horticultura,en,,1027152X
mex,Revista Chapingo. Serie horticultura,en,,20074034
mex,Revista de psicología y ciencias del comportamiento de la Unidad Académica de Ciencias Jurídicas y Sociales,en,,20071833
mex,Revista de psicología y ciencias del comportamiento de la Unidad Académica de Ciencias Jurídicas y Sociales,en,,26831813
mex,Ingeniería agrícola y biosistemas,en,,20073925
mex,Ingeniería agrícola y biosistemas,en,,20074026
mex,Revista Chapingo serie ciencias forestales y del ambiente,en,,20074018
mex,Revista Chapingo serie ciencias forestales y del ambiente,en,,20073828
