"revista_id","revista","issn_canonico"
"REV-0076","CHASQUI-REVISTA LATINOAMERICANA DE COMUNICACION","1390-1079; 1390-924X"
"REV-0077","CONVERGENCIA-REVISTA DE CIENCIAS SOCIALES","1405-1435; 2448-5799"
"REV-0078","Nomadas","0121-7550"
"REV-0079","SOCIAL INDICATORS RESEARCH","0303-8300; 1573-0921"
"REV-0080","INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH","1660-4601; 1661-7827"
"REV-0081","Horizontes Antropológicos","0104-7183; 1806-9983"
"REV-0082","SI SOMOS AMERICANOS-REVISTA DE ESTUDIOS TRANSFRONTERIZOS","0718-2910; 0719-0948"
"REV-0083","BIODEMOGRAPHY AND SOCIAL BIOLOGY","1948-5565; 1948-5573"
"REV-0084","Historia Ambiental Latinoamericana y Caribena","2237-2717"
"REV-0085","BMC PSYCHIATRY","1471-244X"
"REV-0086","LAND","2073-445X"
"REV-0087","JOURNAL OF CROSS-CULTURAL PSYCHOLOGY","0022-0221; 1552-5422"
"REV-0088","Forensic Science International: Reports","2665-9107"
"REV-0089","THEORY & PSYCHOLOGY","0959-3543; 1461-7447"
"REV-0090","PSICOPERSPECTIVAS","0717-7798; 0718-6924"
"REV-0091","MINERALS","2075-163X"
"REV-0092","Psykhe","0717-0297; 0718-2228"
"REV-0093","PAPELES DEL CEIC-INTERNATIONAL JOURNAL ON COLLECTIVE IDENTITY RESEARCH","1695-6494"
"REV-0094","SIMBIOTICA","2316-1620"
"REV-0095","VISUAL ETHNOGRAPHY","2281-1605; 2499-9288"
"REV-0096","TEMPO SOCIAL","0103-2070; 1809-4554"
"REV-0097","Validity of Educational Assessments in Chile and Latin America","303078390"
"REV-0098","CHILD ABUSE & NEGLECT","0145-2134; 1873-7757"
"REV-0099","BULLETIN OF LATIN AMERICAN RESEARCH","0261-3050; 1470-9856"
"REV-0100","ETHNOGRAPHY AND EDUCATION","1745-7823; 1745-7831"
